date,set,index,item-name,category,amazon-link,amazon-price,amazon-discounted-price,amazon-rating,amazon-total-ratings
19_10_2022,PM,1,"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",All Mobile Phones,https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2TTTS/ref=sr_1_3?keywords=Samsung+Galaxy+M13+%28Aqua+Green%2C+4GB%2C+64GB+Storage%29+%7C+6000mAh+Battery+%7C+Upto+8GB+RAM+with+RAM+Plus&qid=1664576787&qu=eyJxc2MiOiIwLjAwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-3,14999,9499,4.0,"4,240"
19_10_2022,PM,2,"Redmi A1 (Black, 2GB RAM, 32GB Storage) | Helio A22 | 5000 mAh Battery | 8MP AI Dual Cam | Leather Texture Design | Android 12",All Mobile Phones,https://www.amazon.in/Redmi-Storage-Battery-Leather-Texture/dp/B0BBN56J5H/ref=sr_1_3?keywords=Redmi+A1+%28Black%2C+2GB+RAM%2C+32GB+Storage%29+%7C+Helio+A22+%7C+5000+mAh+Battery+%7C+8MP+AI+Dual+Cam+%7C+Leather+Texture+Design+%7C+Android+12&qid=1664576799&sr=8-3,8999,6299,3.8,114
19_10_2022,PM,4,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",All Mobile Phones,https://www.amazon.in/Samsung-Midnight-Storage-6000mAh-Battery/dp/B0B4F52B5X/ref=sr_1_3?keywords=Samsung+Galaxy+M13+%28Midnight+Blue%2C+4GB%2C+64GB+Storage%29+%7C+6000mAh+Battery+%7C+Upto+8GB+RAM+with+RAM+Plus&qid=1664576807&qu=eyJxc2MiOiIwLjU5IiwicXNhIjoiMC40MyIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-3,14999,9499,4.0,"4,240"
19_10_2022,PM,5,Samsung Galaxy Tab A8 26.69cm (10.5 inch) Display,Tablets,https://www.amazon.in/Samsung-26-69cm-Display-Expandable-SM-X200NZAEINU/dp/B09P8PCWL4/ref=sr_1_3?keywords=Samsung+Galaxy+Tab+A8+26.69cm+%2810.5+inch%29+Display&qid=1664576813&sr=8-3,23999,14998,4.3,"1,538"
19_10_2022,PM,6,"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Tablets,https://www.amazon.in/Apple-Watch-GPS-Cellular-40mm/dp/B09G9717T5/ref=sr_1_3?keywords=Apple+Watch+SE+%28GPS+%2B+Cellular%2C+40mm%29+-+Space+Grey+Aluminium+Case+with+Midnight+Sport+Band+-+Regular&qid=1664576818&sr=8-3,33900,27900,4.6,"3,077"
19_10_2022,PM,8,"Apple Watch SE (GPS + Cellular, 44mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Tablets,https://www.amazon.in/Apple-Watch-GPS-Cellular-44mm/dp/B09G9H7FNX/ref=sr_1_1?keywords=Apple+Watch+SE+%28GPS+%2B+Cellular%2C+44mm%29+-+Space+Grey+Aluminium+Case+with+Midnight+Sport+Band+-+Regular&qid=1664576823&qu=eyJxc2MiOiIwLjg2IiwicXNhIjoiMC43MiIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-1,36900,29900,4.6,134
19_10_2022,PM,9,"Amazfit GTS 4 Mini Smart Watch, Alexa Built-in Fitness Tracker with 24H Heart Rate Blood Oxygen Monitor, 5 Satellite Positioning, 120+ Sports Modes, 5 ATM Waterproof (Midnight Black)",Tablets,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDEyMTk0NTk5MDc0Mjc0OjE2NjQ1NzY4Mjc6c3BfYXRmOjIwMDYxNDU2NDk3OTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FAmazfit-Satellite-Positioning-Waterproof-Midnight%2Fdp%2FB0B59PWQF8%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DAmazfit%2BGTS%2B4%2BMini%2BSmart%2BWatch%252C%2BAlexa%2BBuilt-in%2BFitness%2BTracker%2Bwith%2B24H%2BHeart%2BRate%2BBlood%2BOxygen%2BMonitor%252C%2B5%2BSatellite%2BPositioning%252C%2B120%252B%2BSports%2BModes%252C%2B5%2BATM%2BWaterproof%2B%2528Midnight%2BBlack%2529%26qid%3D1664576827%26sr%3D8-2-spons%26psc%3D1,10999,7999,4.1,422
19_10_2022,PM,17,"ASUS Vivobook 15, 15.6"" (39.62 cm) FHD, AMD Dual Core Ryzen 3 3200U, Thin and Light Laptop (8GB/256GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.68 Kg), X512DA-BQ301WS",Laptops,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTUxOTA2MjkwNDE5Mzc4OjE2NjQ1NzY4MzI6c3BfYXRmOjIwMDc4MzM5NDkwODk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FASUS-Vivobook-Integrated-Graphics-X512DA-BQ301WS%2Fdp%2FB0BBVV47J9%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DASUS%2BVivobook%2B15%252C%2B15.6%2522%2B%252839.62%2Bcm%2529%2BFHD%252C%2BAMD%2BDual%2BCore%2BRyzen%2B3%2B3200U%252C%2BThin%2Band%2BLight%2BLaptop%2B%25288GB%252F256GB%2BSSD%252FIntegrated%2BGraphics%252FWindows%2B11%252FOffice%2B2021%252FSilver%252F1.68%2BKg%2529%252C%2BX512DA-BQ301WS%26qid%3D1664576832%26sr%3D8-2-spons%26psc%3D1,46990,25000,4.0,171
19_10_2022,PM,18,"Honor MagicBook X 15, Intel Core i3-10110U / 15.6 inch (39.62 cm) Thin and Light Laptop (8GB/256GB PCIe SSD/Windows 10/Aluminium Metal Body/1.56Kg), Silver/Gray,(BohrBR-WAI9A)",Laptops,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDk3MzM1ODA3NjU3ODQ1OjE2NjQ1NzY4MzY6c3BfYXRmOjIwMDQwNDIwMjQzMzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FHonor-MagicBook-i3-10110U-Aluminium-BohrBR-WAI9A%2Fdp%2FB09VPV28W3%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DHonor%2BMagicBook%2BX%2B15%252C%2BIntel%2BCore%2Bi3-10110U%2B%252F%2B15.6%2Binch%2B%252839.62%2Bcm%2529%2BThin%2Band%2BLight%2BLaptop%2B%25288GB%252F256GB%2BPCIe%2BSSD%252FWindows%2B10%252FAluminium%2BMetal%2BBody%252F1.56Kg%2529%252C%2BSilver%252FGray%252C%2528BohrBR-WAI9A%2529%26qid%3D1664576836%26sr%3D8-2-spons%26psc%3D1,49999,27990,4.2,399
19_10_2022,PM,19,"HP 14s, AMD Ryzen 5-5500U 14 inches(35cm) FHD, IPS, Micro-Edge Display Laptop (8GB RAM/512GB SSD /Radeon Graphics/Windows 11/Alexa/Backlit Keyboard/MS Office/1.46kg, 14s-fq1092au)",Laptops,https://www.amazon.in/HP-Micro-Edge-Graphics-Keyboard-14s-fq1092au/dp/B09R1L73TM/ref=sr_1_3?keywords=HP+14s%2C+AMD+Ryzen+5-5500U+14+inches%2835cm%29+FHD%2C+IPS%2C+Micro-Edge+Display+Laptop+%288GB+RAM%2F512GB+SSD+%2FRadeon+Graphics%2FWindows+11%2FAlexa%2FBacklit+Keyboard%2FMS+Office%2F1.46kg%2C+14s-fq1092au%29&qid=1664576841&qu=eyJxc2MiOiIwLjc2IiwicXNhIjoiMC4yOSIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-3,57042,45990,4.3,539
